SAL_avg,CellID,Date
1.64E-14,599,2012/1/25
1.18E-14,599,2012/1/26
1.60E-14,599,2012/1/27
1.80E-14,599,2012/1/28
1.91E-14,599,2012/1/29
1.33E-14,599,2012/1/30
8.96E-15,599,2012/1/31
8.43E-15,599,2012/2/1
4.85E-15,599,2012/2/2
6.31E-15,599,2012/2/3
1.39E-14,599,2012/2/4
1.95E-14,599,2012/2/5
3.56E-14,599,2012/2/6
8.27E-14,599,2012/2/7
1.17E-13,599,2012/2/8
2.10E-13,599,2012/2/9
4.36E-13,599,2012/2/10
6.69E-13,599,2012/2/11
8.39E-13,599,2012/2/12
1.18E-12,599,2012/2/13
1.58E-12,599,2012/2/14
1.60E-12,599,2012/2/15
1.64E-12,599,2012/2/16
2.12E-12,599,2012/2/17
2.44E-12,599,2012/2/18
2.73E-12,599,2012/2/19
3.01E-12,599,2012/2/20
4.47E-12,599,2012/2/21
3.77E-12,599,2012/2/22
3.01E-12,599,2012/2/23
2.53E-12,599,2012/2/24
1.70E-12,599,2012/2/25
7.11E-13,599,2012/2/26
2.97E-13,599,2012/2/27
1.38E-13,599,2012/2/28
9.69E-14,599,2012/2/29
9.65E-14,599,2012/3/1
1.65E-14,599,2012/3/2
1.31E-15,599,2012/3/3
7.71E-17,599,2012/3/4
3.71E-17,599,2012/3/5
3.25E-17,599,2012/3/6
2.95E-17,599,2012/3/7
2.70E-17,599,2012/3/8
2.60E-17,599,2012/3/9
2.63E-17,599,2012/3/10
5.51E-17,599,2012/3/11
2.34E-16,599,2012/3/12
4.97E-16,599,2012/3/13
7.62E-16,599,2012/3/14
9.22E-16,599,2012/3/15
1.65E-15,599,2012/3/16
2.86E-15,599,2012/3/17
4.75E-15,599,2012/3/18
9.77E-15,599,2012/3/19
1.52E-14,599,2012/3/20
2.01E-14,599,2012/3/21
2.74E-14,599,2012/3/22
2.89E-14,599,2012/3/23
2.27E-14,599,2012/3/24
1.89E-14,599,2012/3/25
3.44E-15,599,2012/3/26
1.38E-16,599,2012/3/27
1.31E-17,599,2012/3/28
1.81E-18,599,2012/3/29
2.98E-19,599,2012/3/30
3.06E-18,599,2012/3/31
5.06E-18,599,2012/4/1
2.86E-17,599,2012/4/2
8.42E-17,599,2012/4/3
1.96E-16,599,2012/4/4
5.65E-16,599,2012/4/5
1.84E-15,599,2012/4/6
6.20E-15,599,2012/4/7
1.39E-14,599,2012/4/8
2.54E-14,599,2012/4/9
4.27E-14,599,2012/4/10
6.17E-14,599,2012/4/11
1.06E-13,599,2012/4/12
1.50E-13,599,2012/4/13
1.92E-13,599,2012/4/14
2.46E-13,599,2012/4/15
2.72E-13,599,2012/4/16
3.31E-13,599,2012/4/17
3.58E-13,599,2012/4/18
4.69E-13,599,2012/4/19
6.48E-13,599,2012/4/20
7.38E-13,599,2012/4/21
1.04E-12,599,2012/4/22
1.17E-12,599,2012/4/23
1.12E-12,599,2012/4/24
9.08E-13,599,2012/4/25
8.52E-13,599,2012/4/26
9.68E-13,599,2012/4/27
9.35E-13,599,2012/4/28
4.41E-13,599,2012/4/29
9.98E-14,599,2012/4/30
6.34E-14,599,2012/5/1
7.77E-14,599,2012/5/2
1.13E-13,599,2012/5/3
1.82E-13,599,2012/5/4
2.37E-13,599,2012/5/5
2.75E-13,599,2012/5/6
4.40E-13,599,2012/5/7
6.89E-13,599,2012/5/8
8.91E-13,599,2012/5/9
9.16E-13,599,2012/5/10
8.24E-13,599,2012/5/11
6.66E-13,599,2012/5/12
