"CellID","H","DX","DY","LAT","LON","FSM"
3471,1.00000001335143e-10,1129.77099609375,1580.07250976562,37.7533378601074,-76.4682464599609,0
3472,1.00000001335143e-10,1120.64270019531,1593.09008789062,37.7540245056152,-76.4554901123047,0
3473,1.00000001335143e-10,1118.85864257812,1606.04553222656,37.7547264099121,-76.4427947998047,0
3474,1.00000001335143e-10,1119.38098144531,1618.99523925781,37.755443572998,-76.4300994873047,0
3475,1.00000001335143e-10,1118.8251953125,1631.94641113281,37.7561798095703,-76.4173965454102,0
3476,1.00000001335143e-10,1117.09130859375,1644.88684082031,37.7569313049316,-76.4047164916992,0
3477,1.00000001335143e-10,1114.13500976562,1657.80297851562,37.757698059082,-76.3920593261719,0
3478,1.00000001335143e-10,1109.91088867188,1670.68151855469,37.7584800720215,-76.3794479370117,0
3479,1.00000001335143e-10,1104.37292480469,1683.50805664062,37.75927734375,-76.3668975830078,0
3480,1.00000001335143e-10,1097.474609375,1696.26794433594,37.7600860595703,-76.3544158935547,0
3481,1.00000001335143e-10,1089.16931152344,1708.94580078125,37.7609100341797,-76.3420181274414,0
3482,1.00000001335143e-10,1079.40966796875,1721.52587890625,37.7617454528809,-76.3297271728516,0
3483,1.00000001335143e-10,1068.14904785156,1733.99182128906,37.7625923156738,-76.3175582885742,0
3484,2.5,1055.34033203125,1746.32666015625,37.7634468078613,-76.3055267333984,1
3485,2.59999990463257,1040.93762207031,1758.5126953125,37.7643089294434,-76.2936477661133,1
3486,2.5,1024.89514160156,1770.53186035156,37.7651786804199,-76.2819519042969,1
3487,2.76114559173584,1007.67333984375,1782.36804199219,37.7660522460938,-76.2704391479492,1
3488,4.29595184326172,991.28271484375,1794.01977539062,37.7669296264648,-76.2591247558594,1
3489,7.30319404602051,976.282775878906,1805.50024414062,37.7678108215332,-76.2479934692383,1
3490,8.82155990600586,962.73681640625,1816.82629394531,37.7686958312988,-76.2370223999023,1
3491,11.6002006530762,950.707580566406,1828.01574707031,37.769588470459,-76.226203918457,1
3492,13.3315877914429,940.257141113281,1839.0869140625,37.7704887390137,-76.2155075073242,1
3493,14.9889526367188,931.447692871094,1850.05908203125,37.7713966369629,-76.2049255371094,1
3494,23.7749919891357,924.3408203125,1860.95239257812,37.7723159790039,-76.1944351196289,1
3495,33,918.998657226562,1871.78723144531,37.7732467651367,-76.1840209960938,1
3496,28.8972473144531,915.483337402344,1882.58557128906,37.7741889953613,-76.1736526489258,1
3497,10.4880475997925,913.857727050781,1893.36950683594,37.775146484375,-76.1633224487305,1
3498,9.65683269500732,914.185791015625,1904.16259765625,37.776123046875,-76.1529998779297,1
3499,9.29954242706299,916.532470703125,1914.98889160156,37.7771224975586,-76.1426620483398,1
3500,9.21110248565674,921.024780273438,1925.8740234375,37.7781410217285,-76.1322937011719,1
3501,9.33159160614014,931.362976074219,1936.86657714844,37.7791900634766,-76.1218566894531,1
3502,9.38058662414551,953.4169921875,1948.07177734375,37.7802772521973,-76.1112365722656,1
3503,9.31482887268066,988.085327148438,1959.63696289062,37.7814178466797,-76.1003036499023,1
3504,5.45929336547852,1035.83288574219,1971.71875,37.7826347351074,-76.0889129638672,1
3505,5.22280550003052,1097.18444824219,1984.48059082031,37.7839431762695,-76.0769119262695,1
3506,6.96593618392944,1172.74462890625,1998.09582519531,37.7853660583496,-76.0641479492188,1
3507,4.6602463722229,1263.22192382812,2012.7470703125,37.7869338989258,-76.0504531860352,1
3508,4.42321014404297,1369.45654296875,2028.63049316406,37.7886734008789,-76.0356597900391,1
3509,4.51533174514771,1492.45434570312,2045.95642089844,37.7906188964844,-76.0195846557617,1
3510,4,1633.42944335938,2064.95361328125,37.7928085327148,-76.0020446777344,1
3511,8,1793.85827636719,2085.8740234375,37.795295715332,-75.9828262329102,1
3512,12,1975.54846191406,2108.99658203125,37.7981300354004,-75.9617156982422,1
3513,7,2180.73388671875,2134.63549804688,37.8013877868652,-75.9384613037109,1
3514,4,2410.46313476562,2163.13623046875,37.8051528930664,-75.9128036499023,1
3515,5,2647.35473632812,2194.75512695312,37.8095092773438,-75.8845520019531,1
3516,8,2879.63598632812,2229.57495117188,37.8145370483398,-75.8537368774414,1
3517,6,3107.82080078125,2267.60961914062,37.8203010559082,-75.820442199707,1
3518,3,3332.73071289062,2308.8740234375,37.8269004821777,-75.7847442626953,1
3519,2.5,3555.42553710938,2353.37915039062,37.8344345092773,-75.7467041015625,1
3520,1.00000001335143e-10,3777.44750976562,2401.1201171875,37.8430290222168,-75.7064056396484,0
3521,1.00000001335143e-10,4001.26489257812,2452.05810546875,37.8528366088867,-75.6638946533203,0
3522,1.00000001335143e-10,4231.13916015625,2506.09741210938,37.8640327453613,-75.6192321777344,0
3523,1.00000001335143e-10,4474.99365234375,2563.052734375,37.8768577575684,-75.5724029541016,0
3524,1.00000001335143e-10,4748.9970703125,2622.60815429688,37.8915901184082,-75.5233993530273,0
3525,1.00000001335143e-10,5091.2705078125,2684.28540039062,37.9088020324707,-75.4717407226562,0
3526,1.00000001335143e-10,5620.19580078125,2747.53686523438,37.9288864135742,-75.4174194335938,0
3527,1.00000001335143e-10,7486.71826171875,2815.11596679688,37.9559478759766,-75.3537139892578,0
3528,1.00000001335143e-10,0,0,0,0,0
3529,1.00000001335143e-10,0,0,0,0,0
3530,1.00000001335143e-10,1403.25244140625,1092.03503417969,37.7475509643555,-76.918815612793,0
3531,1.00000001335143e-10,1591.94641113281,1106.970703125,37.7480010986328,-76.9016418457031,0
3532,1.00000001335143e-10,1688.95874023438,1123.66638183594,37.7485237121582,-76.8829116821289,0
3533,1.00000001335143e-10,1759.34350585938,1141.5478515625,37.7491035461426,-76.8632965087891,0
3534,1.00000001335143e-10,1812.64099121094,1160.38159179688,37.7497367858887,-76.8429718017578,0
3535,1.00000001335143e-10,1852.0947265625,1179.98291015625,37.7504234313965,-76.822135925293,0
3536,1.00000001335143e-10,1878.96789550781,1200.18078613281,37.751163482666,-76.8009185791016,0
3537,1.00000001335143e-10,1893.67028808594,1220.80700683594,37.7519416809082,-76.7794723510742,0
3538,1.00000001335143e-10,1896.16796875,1241.69262695312,37.7527656555176,-76.757926940918,0
3539,1.00000001335143e-10,1886.16821289062,1262.66674804688,37.7536201477051,-76.7364196777344,0
3540,1.00000001335143e-10,1863.21801757812,1283.55603027344,37.7545013427734,-76.7151107788086,0
